order_id,score_no_guarantee,score_with_guarantee,nodes_no_guarantee,nodes_with_guarantee,nodes_diff_abs,nodes_diff_factor,r1_no_guarantee,r1_with_guarantee,r1_diff_abs,r1_diff_factor,r4_no_guarantee,r4_with_guarantee,r4_diff_abs,r4_diff_factor,filt1_no_guarantee,filt1_with_guarantee,filt1_diff_abs,filt1_diff_factor,filt2_no_guarantee,filt2_with_guarantee,filt2_diff_abs,filt2_diff_factor,filt5_no_guarantee,filt5_with_guarantee,filt5_diff_abs,filt5_diff_factor
1249,270,270,152,987,835,0.154,94,811,717,0.1159,8,34,26,0.2353,163,0,163,,677,2319,1642,0.2919,677,2319,0,
1250,220,220,173,286,113,0.6049,150,256,106,0.5859,2,4,2,0.5,113,0,113,,140,140,0,1.0,140,140,0,
1251,220,220,155,257,102,0.6031,133,230,97,0.5783,1,2,1,0.5,102,0,102,,172,172,0,1.0,172,172,0,
1252,200,200,144,272,128,0.5294,121,229,108,0.5284,0,0,0,,128,0,128,,264,264,0,1.0,264,264,0,
1253,220,220,137,255,118,0.5373,114,225,111,0.5067,1,3,2,0.3333,118,0,118,,178,178,0,1.0,178,178,0,
1254,210,200,699,1198,499,0.5835,542,983,441,0.5514,26,27,1,0.963,647,0,647,,2835,1928,907,1.4704,2835,1928,0,
1255,220,220,360,636,276,0.566,314,583,269,0.5386,10,15,5,0.6667,264,0,264,,770,840,70,0.9167,770,840,0,
1256,220,220,485,966,481,0.5021,329,684,355,0.481,3,7,4,0.4286,418,0,418,,379,766,387,0.4948,379,766,0,
1257,210,210,658,6776,6118,0.0971,512,6126,5614,0.0836,19,190,171,0.1,619,0,619,,1270,7696,6426,0.165,1270,7696,0,
1258,220,220,171,299,128,0.5719,148,268,120,0.5522,2,5,3,0.4,128,0,128,,125,125,0,1.0,125,125,0,
1259,220,220,174,298,124,0.5839,144,257,113,0.5603,2,4,2,0.5,124,0,124,,179,179,0,1.0,179,179,0,
1260,220,220,167,270,103,0.6185,146,246,100,0.5935,0,0,0,,103,0,103,,149,149,0,1.0,149,149,0,
1261,220,220,159,290,131,0.5483,142,269,127,0.5279,0,0,0,,131,0,131,,127,127,0,1.0,127,127,0,
1262,220,220,138,264,126,0.5227,118,234,116,0.5043,1,3,2,0.3333,126,0,126,,164,164,0,1.0,164,164,0,
1263,220,220,145,288,143,0.5035,106,223,117,0.4753,1,2,1,0.5,143,0,143,,146,146,0,1.0,146,146,0,
1264,220,220,364,358,6,1.0168,232,206,26,1.1262,13,7,6,1.8571,368,0,368,,1614,436,1178,3.7018,1614,436,0,
1265,300,268,920,10367,9447,0.0887,743,9387,8644,0.0792,49,265,216,0.1849,1302,0,1302,,2209,11550,9341,0.1913,2209,11550,0,
1266,220,220,216,350,134,0.6171,167,277,110,0.6029,1,1,0,1.0,134,0,134,,104,104,0,1.0,104,104,0,
1267,266,263,618,9680,9062,0.0638,486,8027,7541,0.0605,20,373,353,0.0536,426,0,426,,2733,36902,34169,0.0741,2733,36902,0,
1268,220,220,134,298,164,0.4497,114,267,153,0.427,2,6,4,0.3333,164,0,164,,134,134,0,1.0,134,134,0,
1269,200,200,415,637,222,0.6515,321,543,222,0.5912,12,10,2,1.2,352,0,352,,2079,1413,666,1.4713,2079,1413,0,
1270,260,260,380,2660,2280,0.1429,274,2386,2112,0.1148,19,59,40,0.322,645,0,645,,967,1958,991,0.4939,967,1958,0,
1271,200,200,133,179,46,0.743,115,155,40,0.7419,0,0,0,,46,0,46,,174,174,0,1.0,174,174,0,
1272,220,220,459,1108,649,0.4143,307,824,517,0.3726,6,17,11,0.3529,449,0,449,,464,649,185,0.7149,464,649,0,
1273,260,255,1138,9808,8670,0.116,869,7691,6822,0.113,38,401,363,0.0948,613,0,613,,5226,48059,42833,0.1087,5226,48059,0,
1274,200,200,561,734,173,0.7643,462,658,196,0.7021,24,9,15,2.6667,680,0,680,,1030,497,533,2.0724,1030,497,0,
1275,220,220,175,293,118,0.5973,156,267,111,0.5843,1,2,1,0.5,118,0,118,,133,133,0,1.0,133,133,0,
1276,220,220,162,351,189,0.4615,123,277,154,0.444,2,5,3,0.4,189,0,189,,131,131,0,1.0,131,131,0,
1277,220,220,282,474,192,0.5949,227,394,167,0.5761,2,4,2,0.5,192,0,192,,208,208,0,1.0,208,208,0,
1278,260,260,1519,24585,23066,0.0618,1067,17600,16533,0.0606,48,1309,1261,0.0367,1130,0,1130,,10365,186322,175957,0.0556,10365,186322,0,
1279,200,200,167,266,99,0.6278,145,239,94,0.6067,0,0,0,,99,0,99,,173,173,0,1.0,173,173,0,
1280,220,220,181,293,112,0.6177,161,265,104,0.6075,1,1,0,1.0,112,0,112,,155,155,0,1.0,155,155,0,
1281,220,220,153,327,174,0.4679,112,248,136,0.4516,2,5,3,0.4,174,0,174,,136,136,0,1.0,136,136,0,
1282,263,263,577,7200,6623,0.0801,481,6766,6285,0.0711,22,151,129,0.1457,983,0,983,,628,2518,1890,0.2494,628,2518,0,
1283,255,220,2529,12667,10138,0.1997,2068,11260,9192,0.1837,81,348,267,0.2328,2248,0,2248,,5912,19941,14029,0.2965,5912,19941,0,
1284,220,220,188,294,106,0.6395,131,216,85,0.6065,2,4,2,0.5,106,0,106,,242,242,0,1.0,242,242,0,
1285,200,200,473,563,90,0.8401,336,367,31,0.9155,10,1,9,10.0,505,0,505,,453,239,214,1.8954,453,239,0,
1286,300,300,735,7971,7236,0.0922,528,7045,6517,0.0749,48,275,227,0.1745,1284,0,1284,,2667,14111,11444,0.189,2667,14111,0,
1287,200,200,336,860,524,0.3907,254,711,457,0.3572,5,11,6,0.4545,417,0,417,,492,590,98,0.8339,492,590,0,
1288,200,200,381,614,233,0.6205,202,300,98,0.6733,3,3,0,1.0,324,0,324,,1260,971,289,1.2976,1260,971,0,
1289,220,220,150,271,121,0.5535,123,236,113,0.5212,1,3,2,0.3333,121,0,121,,201,201,0,1.0,201,201,0,
1290,220,220,166,275,109,0.6036,125,214,89,0.5841,0,0,0,,109,0,109,,148,148,0,1.0,148,148,0,
1291,220,220,145,222,77,0.6532,121,192,71,0.6302,1,2,1,0.5,77,0,77,,191,191,0,1.0,191,191,0,
1292,260,260,11385,1066100,1054715,0.0107,10217,997160,986943,0.0102,357,29509,29152,0.0121,10027,0,10027,,12096,597158,585062,0.0203,12096,597158,0,
1293,200,200,448,579,131,0.7737,348,381,33,0.9134,13,1,12,13.0,537,0,537,,466,239,227,1.9498,466,239,0,
1294,300,300,490,3502,3012,0.1399,346,3017,2671,0.1147,20,85,65,0.2353,808,0,808,,1733,7436,5703,0.2331,1733,7436,0,
1295,260,255,2412,55948,53536,0.0431,2064,51896,49832,0.0398,104,1467,1363,0.0709,2725,0,2725,,4091,58352,54261,0.0701,4091,58352,0,
1296,200,200,110,219,109,0.5023,90,191,101,0.4712,0,0,0,,109,0,109,,230,230,0,1.0,230,230,0,
1297,220,220,162,319,157,0.5078,115,243,128,0.4733,1,1,0,1.0,157,0,157,,164,164,0,1.0,164,164,0,
1298,222,200,558,5147,4589,0.1084,391,4496,4105,0.087,16,75,59,0.2133,626,0,626,,2630,12538,9908,0.2098,2630,12538,0,
1299,200,200,352,629,277,0.5596,296,543,247,0.5451,6,11,5,0.5455,222,0,222,,1116,1574,458,0.709,1116,1574,0,
