order_id,algorithm,time_taken (s),score (max_z),packing_score,fulfillment (%),volume_util (%),area_usage_z0 (%),cog_z,nodes,pruned_rule1,pruned_rule4,pruned_filt1,pruned_filt2,pruned_filt5,total_pruned
2622,BNB,2732.421,390,0.836,100.0,74.11,87.24,170.03,173455,23085.0,2936.0,33340.0,530340.0,7383024.0,7972725.0
2622,FFD,0.0353,1392,0.232,100.0,20.76,26.46,614.21,773,,,,,,
2622,RANDOM,0.1062,1399,0.28,100.0,20.66,48.43,451.69,1118,,,,,,
2623,BFD,1.1565,420,0.852,100.0,70.82,97.03,167.47,12618,,,,,,
2623,BNB,106.4385,333,0.939,100.0,89.32,95.84,157.95,15185,7382.0,1614.0,6227.0,9478.0,302200.0,326901.0
2623,FFD,0.038,1399,0.238,100.0,21.26,27.69,615.05,894,,,,,,
2623,RANDOM,0.0921,1325,0.274,100.0,22.45,46.0,515.2,918,,,,,,
2624,BFD,1.569,468,0.873,100.0,72.16,97.09,184.77,8094,,,,,,
2624,BNB,9.7767,433,0.882,100.0,77.99,93.08,188.06,728,172.0,68.0,427.0,1275.0,19287.0,21229.0
2624,FFD,0.0321,1396,0.258,100.0,24.19,27.89,651.11,483,,,,,,
2624,RANDOM,4.0635,440,0.175,30.77,13.49,30.9,155.22,36070,,,,,,
2625,BFD,1.6825,420,0.816,100.0,64.88,95.66,155.9,17430,,,,,,
2625,BNB,24.3315,330,0.901,100.0,82.58,92.55,149.88,2889,955.0,239.0,669.0,4857.0,91480.0,98200.0
2625,FFD,0.0377,1396,0.218,100.0,19.52,25.56,616.12,1185,,,,,,
2625,RANDOM,0.7071,1400,0.205,84.62,16.12,41.57,507.45,8625,,,,,,
2626,BFD,0.9871,410,0.895,100.0,78.94,92.53,177.69,6738,,,,,,
2626,BNB,14.6307,400,0.878,100.0,80.92,89.12,183.02,1387,392.0,112.0,657.0,2366.0,35128.0,38655.0
2626,FFD,0.0355,1390,0.257,100.0,23.29,26.79,623.23,642,,,,,,
2626,RANDOM,0.2319,1376,0.264,96.15,22.58,52.48,571.52,3214,,,,,,
2627,BFD,1.6312,460,0.845,100.0,67.7,94.78,172.95,10536,,,,,,
2627,BNB,312.128,400,0.85,100.0,77.85,88.98,181.54,21240,1439.0,786.0,10705.0,63090.0,1068393.0,1144413.0
2627,FFD,0.0373,1390,0.25,100.0,22.4,27.83,613.82,693,,,,,,
2627,RANDOM,0.1188,1400,0.281,100.0,22.24,51.32,517.17,1301,,,,,,
2628,BFD,1.0748,400,0.866,100.0,78.02,90.24,178.03,8544,,,,,,
2628,BNB,101.1013,375,0.925,100.0,83.22,95.0,166.67,12296,4752.0,1053.0,3603.0,16536.0,343896.0,369840.0
2628,FFD,0.0329,1400,0.248,100.0,22.29,26.79,620.48,666,,,,,,
2628,RANDOM,0.937,1400,0.195,76.92,15.32,42.4,508.4,12711,,,,,,
2629,BFD,1.725,295,0.832,100.0,74.18,88.9,129.65,13224,,,,,,
2629,BNB,7.9734,0,0.0,0.0,,0.0,-1.0,540,44.0,9.0,156.0,1744.0,18345.0,20298.0
2629,FFD,0.0434,1397,0.169,100.0,15.66,18.82,643.57,1073,,,,,,
2629,RANDOM,0.2591,1315,0.198,100.0,16.64,34.6,532.27,2344,,,,,,
2630,BFD,1.0981,348,0.865,100.0,76.41,89.88,151.01,12546,,,,,,
2630,BNB,67.1718,300,0.938,100.0,88.64,94.56,141.26,5803,1264.0,74.0,2731.0,13756.0,220972.0,238797.0
2630,FFD,0.0488,1365,0.221,100.0,19.48,23.91,591.59,948,,,,,,
2630,RANDOM,0.2607,1375,0.239,100.0,19.34,45.67,526.4,2907,,,,,,
2631,BFD,1.7783,330,0.903,100.0,78.36,95.11,139.84,16308,,,,,,
2631,BNB,29.3783,300,0.942,100.0,86.2,95.81,136.07,3373,1245.0,303.0,1337.0,4360.0,82735.0,89980.0
2631,FFD,0.035,1399,0.195,100.0,18.48,21.62,662.17,948,,,,,,
2631,RANDOM,0.0818,1283,0.257,100.0,20.16,50.73,465.18,801,,,,,,
2632,BFD,0.9458,395,0.809,100.0,64.94,92.39,148.81,5574,,,,,,
